Titulo,Título_Verif,Categoria,Link,Ranking,Avaliação,Qtd_Avaliação,Relevância,Qualidade da Imagem,Quantidade de Imagens,Vídeos,FBA,Bullets,Data
Headphone Philips bluetooth on-ear com microfone e energia para 15 horas na cor preto TAH1108BK/55,"(98, 'OK')",Fones de Ouvido,https://www.amazon.com.br/Headphone-bluetooth-microfone-TAH1108BK-55/dp/B0CCB1DDLF/ref=sr_1_11?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-11&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e&xpid=m2HGw1-372EnG,6,"OK - 4.7, Ótima",14517,100.0,"('1500x837', 'OK')",OK,Adicionar um video,Sim,OK,22/04/2025
"Aparador de Pelos Super Groom 10, Mondial, Preto/Azul, 6W, Bivolt - BG-03","(73, 'OK')",Aparadores de Pelo,https://www.amazon.com.br/Aparador-Bivolt-Mondial-BG-03-Pequeno/dp/B07DP2S4PC/ref=sr_1_12?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-12&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e&xpid=m2HGw1-372EnG,1,"OK - 4.7, Ótima",39149,100.0,"('1350x1500', 'OK')",OK,Adicionar um video,Sim,OK,22/04/2025
"Headset Sem Fio Logitech G Astro A30 LIGHTSPEED com Conexão Bluetooth ou 3,5 mm, Microfone Destacável, Até 27h de Bateria, para Áudio 3D/Dolby Atmos, Xbox, Nintendo Switch, PC, Android - Branco","(193, 'OK')",Fones para Jogos,https://www.amazon.com.br/Astro-A30-LIGHTSPEED-Bluetooth-Destac%C3%A1vel/dp/B0BN6WP6YW/ref=sr_1_13?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-13&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e&xpid=m2HGw1-372EnG,202,"OK - 4.3, Boa",78,81.2,"('1298x1500', 'OK')",OK,Adicionar um video,Sim,OK,22/04/2025
PROCESSADOR AMD RYZEN 5 5500 3.6GHz (TURBO 4.2GHz) 16MB CACHE AM4 100-100000457BOX,"(82, 'OK')",CPUs,https://www.amazon.com.br/Processador-AMD-Ryzen-5500-100100000457BOX/dp/B09VCJ171S/ref=sr_1_14?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-14&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,1,"OK - 4.7, Ótima",6284,100.0,"('864x926', 'Necessário alteração. Baixa resolução')",OK,Adicionar um video,Sim,Adicionar mais 1 tópico(s),22/04/2025
"Notebook Acer Aspire 5 A515-45-R0XR AMD Ryzen 7 5700U Tela 15.6"" RAM 8 GB 256 GB SSD Linux Prata","(96, 'OK')",Laptops Tradicionais,https://www.amazon.com.br/Notebook-Aspire-A515-45-R0XR-Ryzen-5700U/dp/B0DSWK7DN1/ref=sr_1_15?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-15&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,44,"OK - 4.2, Boa",6,37.2,"('917x661', 'Necessário alteração. Baixa resolução')",Adicionar mais 1 imagens,Adicionar um video,Sim,OK,22/04/2025
ZOTAC GAMING GEFORCE RTX 3060 12GB GDDR6 ZT-A30600P-10M,"(55, 'OK')",Placas de Vídeo,https://www.amazon.com.br/ZOTAC-GAMING-GEFORCE-GDDR6-ZT-A30600P-10M/dp/B0CZXYG7RC/ref=sr_1_16?dib=eyJ2IjoiMSJ9.xoN_0BpgaenJjl7623eoCMMlx0L4QavI_k8wE25OYhkp-viSwD4YIS3E-EeL8vaWyMt-B3MkoVGbkPGZidwxudaY4UBq-RexZTN15oTQ0PnF4glscPQ11k-d74tjCVh0zaJJBGoPU1gm6D8tHU3PTJWDkSmDA2JJXuJ03dbmu9irjGai9nUHxe2FQUJFL9Hv2nDkZfeOPPwbiphHYRDMfSt9nlea9uCVRuIv_VZEEgA.eVaGf-ZtdkRl2NEFC114mGKwG1o0t9BpoYPaoWnpP-M&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346178&s=merchant-items&sr=1-16&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e&xpid=m2HGw1-372EnG,3,"OK - 5.0, Ótima",2,41.2,"('1246x860', 'OK')",OK,Adicionar um video,Sim,OK,22/04/2025
KG251Q P3biip 24.5H FHD 180HZ Gamer,"(35, 'OK')",Monitores,https://www.amazon.com.br/KG251Q-P3biip-24-5H-180HZ-Gamer/dp/B0BK9DXLJ2/ref=sr_1_17?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-17&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,54,"OK - 4.7, Ótima",18,48.4,"('679x716', 'Necessário alteração. Baixa resolução')",OK,Adicionar um video,Sim,OK,22/04/2025
"PC Gamer ITX Arena, Ryzen 5 5500, NVídia GeForce RTX 4060, 16GB RAM, SSD 500GB, Gabinete RGB","(92, 'OK')",CPUs,https://www.amazon.com.br/Gamer-ITX-NV%C3%ADdia-GeForce-Gabinete/dp/B0D7QMTVHF/ref=sr_1_18?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-18&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,6,"OK - 4.4, Boa",12,42.4,"(nan, ""ERRO - 'float' object has no attribute 'lower'"")",Adicionar mais 3 imagens,Adicionar um video,Sim,Adicionar mais 3 tópico(s),22/04/2025
"Placa Mãe Gigabyte B650M Gaming WiFi, Chipset B650, AMD AM5, mATX, DDR5","(71, 'OK')",Placas-Mãe,https://www.amazon.com.br/Placa-Gigabyte-B650M-Gaming-Chipset/dp/B0D5NM5184/ref=sr_1_19?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-19&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,8,"OK - 4.3, Boa",38,57.2,"('1218x748', 'OK')",Adicionar mais 1 imagens,Adicionar um video,Sim,OK,22/04/2025
"Placa Mãe Gigabyte B550M AORUS Elite, Chipset B550, AMD AM4, mATX, DDR4","(71, 'OK')",Placas-Mãe,https://www.amazon.com.br/PLACA-GIGABYTE-B550M-AORUS-ELITE/dp/B08BN8VD23/ref=sr_1_20?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-20&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,1,"OK - 4.7, Ótima",3616,100.0,"('1500x1000', 'OK')",Adicionar mais 1 imagens,Adicionar um video,Sim,Adicionar mais 1 tópico(s),22/04/2025
PROCESSADOR AMD RYZEN 5 8500G 3.5GHZ (MAX TURBO 5.0GHZ) 22MB CACHE AM5 100-100000931BOX,"(87, 'OK')",CPUs,https://www.amazon.com.br/Processador-AMD-Ryzen5-8500G-100100000931BOX/dp/B0CQ4JV8D5/ref=sr_1_21?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-21&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,18,"OK - 4.5, Ótima",467,100.0,"('1391x1500', 'OK')",OK,Adicionar um video,Sim,Adicionar mais 4 tópico(s),22/04/2025
Microondas R1 BRANCO PORTA PRETA 20L MRAS21/MRAS22 (127),"(56, 'OK')",Fornos de Micro-Ondas,https://www.amazon.com.br/Microondas-BRANCO-PORTA-MRAS21-MRAS22/dp/B09329F4J6/ref=sr_1_22?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-22&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,2,"OK - 4.6, Ótima",9694,100.0,"('976x538', 'Necessário alteração. Baixa resolução')",OK,Adicionar um video,Sim,OK,22/04/2025
